有價證券代號,有價證券名稱,市場別,產業別,公開發行/上市(櫃)/發行日
3209,全科,上市,電子通路業,2008/11/26
3229,晟鈦,上市,電子零組件業,2009/12/31
3231,緯創,上市,電腦及週邊設備業,2003/08/19
3257,虹冠電,上市,半導體業,2011/03/21
3266,昇陽,上市,建材營造業,2014/12/24
3296,勝德,上市,電子零組件業,2007/12/31
3305,昇貿,上市,其他電子業,2008/07/10
3308,聯德,上市,電子零組件業,2008/03/12
3311,閎暉,上市,通信網路業,2004/03/08
3312,弘憶股,上市,電子通路業,2010/12/29
3321,同泰,上市,電子零組件業,2015/12/15
3338,泰碩,上市,電子零組件業,2013/12/13
